iter	Passed	Remaining
0	2	8963
1	4	8630
2	6	7878
3	8	7458
4	11	7901
5	14	8186
6	17	8555
7	19	8610
8	22	8568
9	24	8492
10	27	8648
11	30	8842
12	33	8903
13	35	8845
14	37	8783
15	40	8920
16	44	9024
17	46	9017
18	48	8976
19	52	9110
20	55	9141
21	57	9122
22	60	9098
23	62	9110
24	65	9076
25	67	9079
26	70	9027
27	72	9001
28	75	9045
29	78	9082
30	81	9088
31	83	9072
32	86	9056
33	88	9033
34	91	9057
35	94	9073
36	96	9037
37	98	9009
38	101	9013
39	104	9004
40	106	9019
41	109	9012
42	112	9015
43	114	9006
44	117	8983
45	119	8996
46	122	8990
47	125	8995
48	127	9001
49	130	9007
50	133	9005
51	135	9005
52	138	9003
53	140	8979
54	143	8975
55	146	8983
56	148	8981
57	150	8957
58	153	8962
59	156	8984
60	159	8969
61	161	8943
62	164	8950
63	166	8961
64	169	8949
65	172	8972
66	175	8972
67	177	8941
68	179	8929
69	182	8921
70	184	8926
71	187	8919
72	189	8907
73	192	8901
74	195	8913
75	197	8911
76	200	8915
77	203	8919
78	205	8910
79	207	8891
80	210	8899
81	213	8903
82	216	8903
83	219	8917
84	221	8913
85	224	8910
86	226	8891
87	229	8887
88	231	8882
89	234	8883
90	237	8885
91	239	8877
92	242	8877
93	244	8861
94	247	8868
95	250	8868
96	252	8861
97	255	8858
98	257	8845
99	260	8841
100	262	8844
101	265	8836
102	267	8818
103	269	8809
104	271	8788
105	274	8779
106	276	8778
107	279	8777
108	281	8767
109	284	8759
110	286	8755
111	289	8749
112	292	8757
113	295	8762
114	297	8752
115	300	8752
116	302	8753
117	305	8760
118	308	8751
119	310	8749
120	313	8743
121	316	8756
122	318	8753
123	321	8758
124	324	8760
125	327	8758
126	329	8759
127	331	8740
128	334	8731
129	336	8727
130	339	8726
131	342	8733
132	344	8727
133	347	8720
134	349	8717
135	352	8712
136	355	8728
137	357	8713
138	360	8721
139	363	8715
140	365	8709
141	368	8709
142	370	8701
143	373	8702
144	375	8691
145	378	8691
146	380	8687
147	383	8685
148	385	8679
149	388	8670
150	390	8671
151	393	8663
152	395	8657
153	398	8660
154	400	8646
155	403	8641
156	405	8629
157	408	8635
158	410	8634
159	413	8634
160	415	8626
161	418	8619
162	420	8615
163	423	8610
164	425	8602
165	428	8596
166	430	8591
167	433	8588
168	435	8585
169	437	8574
170	440	8572
171	442	8567
172	445	8565
173	447	8562
174	450	8551
175	452	8548
176	455	8543
177	457	8541
178	460	8534
179	462	8534
180	464	8524
181	467	8515
182	469	8508
183	472	8507
184	474	8504
185	477	8500
186	479	8489
187	481	8486
188	484	8482
189	486	8475
190	488	8469
191	491	8465
192	493	8460
193	496	8454
194	498	8454
195	501	8452
196	504	8455
197	506	8451
198	509	8452
199	512	8450
200	514	8445
201	517	8442
202	519	8436
203	522	8434
204	524	8437
205	527	8436
206	530	8436
207	532	8430
208	535	8429
209	537	8425
210	540	8425
211	542	8420
212	545	8412
213	547	8409
214	550	8412
215	553	8408
216	555	8401
217	557	8399
218	560	8394
219	562	8391
220	565	8387
221	567	8382
222	570	8387
223	573	8384
224	575	8383
225	578	8377
226	580	8369
227	582	8365
228	585	8361
229	588	8361
230	590	8362
231	593	8353
232	595	8347
233	597	8340
234	600	8337
235	603	8343
236	605	8341
237	608	8338
238	610	8336
239	614	8346
240	616	8342
241	619	8335
242	621	8326
243	623	8324
244	626	8320
245	628	8318
246	631	8314
247	633	8306
248	635	8300
249	638	8295
250	640	8292
251	642	8285
252	645	8281
253	647	8276
254	649	8270
255	652	8264
256	654	8262
257	657	8258
258	659	8251
259	661	8247
260	664	8244
261	666	8241
262	669	8237
263	671	8231
264	673	8226
265	676	8224
266	678	8218
267	681	8217
268	683	8211
269	686	8211
270	688	8204
271	690	8198
272	693	8196
273	695	8190
274	698	8188
275	700	8181
276	702	8176
277	705	8174
278	708	8178
279	710	8172
280	712	8166
281	715	8163
282	717	8159
283	720	8160
284	722	8153
285	725	8148
286	728	8151
287	730	8150
288	733	8151
289	736	8149
290	738	8148
291	741	8143
292	743	8141
293	746	8139
294	748	8136
295	751	8132
296	753	8130
297	756	8123
298	758	8120
299	760	8116
300	763	8113
301	766	8118
302	768	8112
303	771	8107
304	773	8106
305	776	8102
306	778	8101
307	781	8097
308	783	8096
309	786	8093
310	788	8088
311	791	8085
312	793	8082
313	796	8083
314	799	8083
315	801	8080
316	804	8079
317	807	8079
318	809	8075
319	812	8078
320	815	8075
321	818	8073
322	820	8067
323	822	8061
324	825	8060
325	827	8055
326	829	8052
327	832	8046
328	834	8043
329	837	8044
330	839	8038
331	842	8035
332	844	8036
333	847	8032
334	849	8030
335	852	8026
336	854	8020
337	856	8012
338	859	8009
339	861	8008
340	864	8010
341	866	8005
342	869	8003
343	872	8008
344	875	8006
345	878	8004
346	880	8000
347	883	7999
348	885	7997
349	888	7998
350	891	7998
351	894	7997
352	896	7994
353	899	7990
354	901	7987
355	904	7989
356	906	7984
357	909	7982
358	912	7980
359	914	7974
360	917	7975
361	919	7971
362	921	7966
363	924	7963
364	926	7959
365	929	7958
366	932	7957
367	934	7955
368	936	7950
369	939	7945
370	942	7945
371	944	7943
372	947	7943
373	950	7943
374	952	7941
375	955	7937
376	958	7939
377	960	7936
378	963	7932
379	966	7932
380	968	7932
381	971	7927
382	973	7921
383	975	7915
384	977	7912
385	980	7910
386	983	7910
387	985	7906
388	988	7904
389	991	7902
390	993	7901
391	996	7900
392	998	7897
393	1001	7893
394	1003	7887
395	1005	7884
396	1008	7884
397	1011	7882
398	1013	7879
399	1016	7875
400	1018	7869
401	1021	7869
402	1023	7866
403	1026	7863
404	1028	7860
405	1030	7855
406	1033	7851
407	1035	7849
408	1037	7844
409	1040	7840
410	1043	7839
411	1045	7834
412	1048	7836
413	1050	7833
414	1053	7828
415	1055	7827
416	1058	7824
417	1062	7834
418	1066	7844
419	1071	7856
420	1073	7851
421	1075	7843
422	1076	7833
423	1078	7824
424	1080	7819
425	1082	7813
426	1085	7808
427	1088	7810
428	1090	7809
429	1093	7806
430	1095	7803
431	1098	7801
432	1101	7805
433	1104	7804
434	1106	7798
435	1109	7795
436	1111	7793
437	1114	7791
438	1116	7787
439	1119	7782
440	1121	7778
441	1123	7773
442	1126	7773
443	1128	7767
444	1131	7769
445	1134	7767
446	1136	7763
447	1139	7763
448	1142	7761
449	1144	7757
450	1147	7755
451	1149	7753
452	1151	7747
453	1154	7743
454	1156	7741
455	1158	7736
456	1161	7735
457	1163	7731
458	1166	7727
459	1169	7726
460	1171	7723
461	1173	7719
462	1176	7716
463	1179	7718
464	1182	7716
465	1184	7711
466	1187	7710
467	1189	7707
468	1192	7703
469	1194	7700
470	1196	7697
471	1199	7695
472	1201	7691
473	1204	7688
474	1207	7691
475	1210	7687
476	1212	7685
477	1215	7683
478	1218	7681
479	1220	7680
480	1223	7678
481	1225	7675
482	1228	7673
483	1231	7672
484	1233	7666
485	1236	7665
486	1238	7662
487	1240	7658
488	1243	7654
489	1245	7651
490	1248	7649
491	1251	7648
492	1253	7646
493	1256	7643
494	1258	7638
495	1260	7635
496	1263	7633
497	1265	7629
498	1268	7629
499	1270	7624
500	1272	7620
501	1275	7615
502	1277	7612
503	1279	7607
504	1282	7608
505	1285	7607
506	1287	7602
507	1289	7597
508	1292	7594
509	1295	7594
510	1297	7591
511	1300	7589
512	1302	7584
513	1304	7580
514	1307	7577
515	1309	7574
516	1312	7572
517	1314	7568
518	1317	7565
519	1319	7563
520	1322	7560
521	1324	7557
522	1326	7552
523	1329	7549
524	1331	7545
525	1334	7542
526	1336	7540
527	1338	7536
528	1341	7533
529	1343	7530
530	1346	7529
531	1349	7527
532	1351	7524
533	1354	7520
534	1356	7517
